price age km TIA extra1 extra2 kop1 kop2 kop3 ageop1 ageop2 ageop3
2.999 131 125 2 1 0 -0.21834598 -0.68255512 0.26545001 0.93946187 0.3197735 -0.46647595
2.5 125 126 2 1 1 -0.19591653 -0.69152273 0.2366362 0.62293407 -0.31437054 -0.9341788
4.25 99 128 10 1 1 -0.15105763 -0.7072295 0.17808268 -0.7486864 -0.78019418 0.90221495
2 98 128 25 1 1 -0.15105763 -0.7072295 0.17808268 -0.80144103 -0.72405084 0.97602239
4 133 128.5 24 1 1 -0.13984291 -0.71069192 0.16327505 1.0449711 0.57504203 -0.16168243
3.8 101 129 11 1 1 -0.12862819 -0.71396865 0.14840784 -0.64317713 -0.87602316 0.73555846
2.6 120 130 13 0 1 -0.10619874 -0.71996498 0.11851086 0.35916091 -0.69196168 -0.91016531
2.6 120 130 13 1 0 -0.10619874 -0.71996498 0.11851086 0.35916091 -0.69196168 -0.91016531
3.65 110 130 23 1 1 -0.10619874 -0.71996498 0.11851086 -0.16838543 -1.0357016 -0.16566488
4.799 93 130.5 16 1 0 -0.09498402 -0.7226846 0.10348921 -1.0652142 -0.36104568 1.2169387
2.3 127 131 7 0 1 -0.08376929 -0.7252185 0.08842418 0.72844334 -0.12493279 -0.8461416
3.4 105 133 6 1 1 -0.0389104 -0.73349707 0.02781144 -0.4321586 -1.0018503 0.34911783
2.9 114 135 25 1 0 0.0059485 -0.73880437 -0.0331709 0.0426331 -0.9640364 -0.53869686
2.6 133 136 16 0 0 0.02837795 -0.74034379 -0.06371958 1.0449711 0.57504203 -0.16168243
3.9 100 136 9 1 1 0.02837795 -0.74034379 -0.06371958 -0.69593176 -0.83085162 0.82178604
2.4 133 137 16 0 1 0.05080739 -0.74114039 -0.09426335 1.0449711 0.57504203 -0.16168243
4.3 80 137 6 1 1 0.05080739 -0.74114039 -0.09426335 -1.7510244 1.2246179 0.2342715
3 126 139.2 10 1 0 0.10015211 -0.74027818 -0.16128246 0.67568871 -0.22239461 -0.89795749
1.9 122 140 11 1 1 0.11809574 -0.73907327 -0.1855409 0.46467017 -0.55738292 -0.95750345
2.999 133 140 19 1 1 0.11809574 -0.73907327 -0.1855409 1.0449711 0.57504203 -0.16168243
2.8 124 140 19 1 0 0.11809574 -0.73907327 -0.1855409 0.57017944 -0.40086056 -0.95562835
3.5 138 140 19 1 1 0.11809574 -0.73907327 -0.1855409 1.3087443 1.3092166 0.98840084
2.3 127 141 7 0 1 0.14052518 -0.73689859 -0.2157407 0.72844334 -0.12493279 -0.8461416
3.7 89 142 22 0 1 0.16295463 -0.73398109 -0.24577343 -1.2762327 0.02810463 1.2065578
3.2 87 142.546 24 1 1 0.17520123 -0.73207461 -0.26208931 -1.381742 0.25559518 1.1155607
2.75 142 143 16 1 1 0.18538408 -0.73032078 -0.27560663 1.5197628 1.9953024 2.3619614
2.75 142 143 16 1 1 0.18538408 -0.73032078 -0.27560663 1.5197628 1.9953024 2.3619614
3.2 95 143 4 1 1 0.18538408 -0.73032078 -0.27560663 -0.95970493 -0.52270544 1.1494876
2.6 142 143 16 1 1 0.18538408 -0.73032078 -0.27560663 1.5197628 1.9953024 2.3619614
2.99 125 144 7 1 0 0.20781353 -0.72591764 -0.30520789 0.62293407 -0.31437054 -0.9341788
2.45 132 146 23 0 1 0.25267242 -0.71488291 -0.36358482 0.99221651 0.44466481 -0.32434493
2.45 132 146 23 0 1 0.25267242 -0.71488291 -0.36358482 0.99221651 0.44466481 -0.32434493
2.5 129 146 25 0 1 0.25267242 -0.71488291 -0.36358482 0.83395261 0.08644856 -0.69243483
3.9 100 148 9 1 1 0.29753132 -0.7008769 -0.42064472 -0.69593176 -0.83085162 0.82178604
2.1 115 148 19 1 1 0.29753132 -0.7008769 -0.42064472 0.09538774 -0.93240536 -0.61970997
3.2 107 149 24 1 1 0.31996077 -0.69275966 -0.44859971 -0.32664933 -1.0318485 0.14249877
2.3 134 150 22 0 0 0.34239021 -0.68389961 -0.47612813 1.0977258 0.71090514 0.02233437
2.35 117 150 13 1 0 0.34239021 -0.68389961 -0.47612813 0.20089701 -0.85268559 -0.76128259
3.3 101 151 19 1 1 0.36481966 -0.67429674 -0.50319756 -0.64317713 -0.87602316 0.73555846
2 125 152 25 1 1 0.38724911 -0.66395105 -0.52977555 0.62293407 -0.31437054 -0.9341788
2.9 124 155 6 1 1 0.45453745 -0.62845706 -0.60623662 0.57017944 -0.40086056 -0.95562835
3.8 123 155 10 1 1 0.45453745 -0.62845706 -0.60623662 0.51742481 -0.48186469 -0.96312896
1.45 136 155 25 0 1 0.45453745 -0.62845706 -0.60623662 1.203235 0.99908907 0.45772211
3.95 101 155 17 1 1 0.45453745 -0.62845706 -0.60623662 -0.64317713 -0.87602316 0.73555846
2.4 122 160 6 1 1 0.56668469 -0.55444401 -0.72081585 0.46467017 -0.55738292 -0.95750345
2.49 122 160 12 1 0 0.56668469 -0.55444401 -0.72081585 0.46467017 -0.55738292 -0.95750345
2.9 119 160 25 1 1 0.56668469 -0.55444401 -0.72081585 0.30640627 -0.75102222 -0.87009832
2.3 112 162.5 23 1 1 0.62275831 -0.51047356 -0.77101501 -0.06287616 -1.0108408 -0.36033115
3.95 93 162.6 18 1 1 0.62500139 -0.50861806 -0.77291409 -1.0652142 -0.36104568 1.2169387
2.9 94 165 17 0 0 0.67883193 -0.46186049 -0.81581147 -1.0124596 -0.44461851 1.188581
2.95 140 165 17 1 1 0.67883193 -0.46186049 -0.81581147 1.4142536 1.6412877 1.6209531
2.2 112 166 17 0 1 0.70126138 -0.44111532 -0.83210377 -0.06287616 -1.0108408 -0.36033115
3.45 128 167 24 0 1 0.72369082 -0.41962734 -0.84741812 0.78119797 -0.02198506 -0.77790832
2.32 108 169 25 0 0 0.76854972 -0.37442292 -0.87498322 -0.2738947 -1.0386188 0.03871941
2.7 113 169 6 1 1 0.76854972 -0.37442292 -0.87498322 -0.01012153 -0.99018155 -0.45196298
2.25 127 170 11 1 1 0.79097917 -0.35070647 -0.88716909 0.72844334 -0.12493279 -0.8461416
2.999 114 170 25 1 1 0.79097917 -0.35070647 -0.88716909 0.0426331 -0.9640364 -0.53869686
3.9 116 170 6 1 1 0.79097917 -0.35070647 -0.88716909 0.14814237 -0.89528843 -0.69417948
4.2 112 170 21 0 1 0.79097917 -0.35070647 -0.88716909 -0.06287616 -1.0108408 -0.36033115
2.65 111 170 25 0 1 0.79097917 -0.35070647 -0.88716909 -0.1156308 -1.0260141 -0.26462417
1.95 125 171 10 1 0 0.81340861 -0.32624721 -0.89824727 0.62293407 -0.31437054 -0.9341788
3.6 92 171 21 1 1 0.81340861 -0.32624721 -0.89824727 -1.1179688 -0.27198695 1.2337381
1.8 127 172 25 1 1 0.83583806 -0.30104513 -0.90818532 0.72844334 -0.12493279 -0.8461416
2.5 130 172.344 18 1 0 0.84355366 -0.29220405 -0.91133454 0.88670724 0.20036808 -0.58889831
4.2 84 173 25 1 1 0.85826751 -0.27510024 -0.91695081 -1.5400059 0.63797523 0.85329339
3.3 93 178 25 1 1 0.97041475 -0.13423345 -0.94205454 -1.0652142 -0.36104568 1.2169387
2.8 100 179 8 1 0 0.99284419 -0.10383163 -0.94310351 -0.69593176 -0.83085162 0.82178604
3.2 104 180 4 1 1 1.0152736 -0.072687 -0.94275286 -0.48491323 -0.97862239 0.4503119
2.7 134 180 25 0 0 1.0152736 -0.072687 -0.94275286 1.0977258 0.71090514 0.02233437
2 137 180 22 1 1 1.0152736 -0.072687 -0.94275286 1.2559897 1.1514099 0.71073869
2.79 110 184 18 1 1 1.1049914 0.05931974 -0.92670548 -0.16838543 -1.0357016 -0.16566488
1.9 131 187 5 0 1 1.1722798 0.16612439 -0.89838473 0.93946187 0.3197735 -0.46647595
1.7 121 189 18 1 0 1.2171387 0.24104159 -0.87126285 0.41191554 -0.62741525 -0.93957463
3.1 116 190 20 1 1 1.2395681 0.27961442 -0.85513218 0.14814237 -0.89528843 -0.69417948
2.1 137 190 20 0 1 1.2395681 0.27961442 -0.85513218 1.2559897 1.1514099 0.71073869
1.8 138 190 19 1 1 1.2395681 0.27961442 -0.85513218 1.3087443 1.3092166 0.98840084
3.2 121 190 25 1 1 1.2395681 0.27961442 -0.85513218 0.41191554 -0.62741525 -0.93957463
3.1 122 192 11 1 1 1.284427 0.35898854 -0.81756923 0.46467017 -0.55738292 -0.95750345
4.2 103 192 26 1 0 1.284427 0.35898854 -0.81756923 -0.53766786 -0.94990854 0.54899857
2.4 136 193 9 1 1 1.3068565 0.39978983 -0.79607208 1.203235 0.99908907 0.45772211
3.333 130 193 25 1 1 1.3068565 0.39978983 -0.79607208 0.88670724 0.20036808 -0.58889831
3.2 129 195 11 1 1 1.3517154 0.48362086 -0.74748424 0.83395261 0.08644856 -0.69243483
2.4 129 197 10 0 1 1.3965743 0.57042317 -0.69122213 0.83395261 0.08644856 -0.69243483
3.5 113 197 18 0 1 1.3965743 0.57042317 -0.69122213 -0.01012153 -0.99018155 -0.45196298
2.45 132 200 25 0 0 1.4638626 0.70619778 -0.59187208 0.99221651 0.44466481 -0.32434493
1.9 126 204 25 1 0 1.5535804 0.89763007 -0.43012356 0.67568871 -0.22239461 -0.89795749
1.75 139 214 17 0 1 1.7778749 1.4282081 0.13352251 1.3614989 1.4725092 1.2915314
2.4 110 216 19 1 1 1.8227338 1.5432376 0.27563181 -0.16838543 -1.0357016 -0.16566488
2.4 110 216 19 1 1 1.8227338 1.5432376 0.27563181 -0.16838543 -1.0357016 -0.16566488
2.35 133 218 19 1 1 1.8675927 1.6612383 0.42813993 1.0449711 0.57504203 -0.16168243
3.8 78 223 25 0 1 1.9797399 1.9692395 0.85660787 -1.8565337 1.5508546 -0.2054782
2.499 136 223 25 0 1 1.9797399 1.9692395 0.85660787 1.203235 0.99908907 0.45772211
2 138 230 8 1 1 2.136746 2.4316395 1.5760946 1.3087443 1.3092166 0.98840084
1.75 142 235 24 0 1 2.2488933 2.7842098 2.1809788 1.5197628 1.9953024 2.3619614
2.45 121 250 22 0 1 2.585335 3.9533437 4.4942442 0.41191554 -0.62741525 -0.93957463
2.2 136 250 6 1 1 2.585335 3.9533437 4.4942442 1.203235 0.99908907 0.45772211
